Date,Open*,High,Low,Close**,Volume,Market Cap
17-Dec-20,$0.17 ,$0.17 ,$0.16 ,$0.16 ,"$1,188,727,265 ","$5,086,350,899 "
16-Dec-20,$0.15 ,$0.17 ,$0.15 ,$0.17 ,"$976,699,799 ","$5,214,107,174 "
15-Dec-20,$0.16 ,$0.16 ,$0.15 ,$0.15 ,"$607,184,173 ","$4,800,812,312 "
14-Dec-20,$0.15 ,$0.16 ,$0.15 ,$0.16 ,"$587,078,385 ","$4,915,534,755 "
13-Dec-20,$0.14 ,$0.16 ,$0.14 ,$0.15 ,"$675,025,745 ","$4,790,208,946 "
12-Dec-20,$0.14 ,$0.15 ,$0.14 ,$0.14 ,"$519,780,651 ","$4,494,503,217 "
11-Dec-20,$0.14 ,$0.14 ,$0.14 ,$0.14 ,"$704,854,539 ","$4,338,604,376 "
10-Dec-20,$0.15 ,$0.15 ,$0.14 ,$0.14 ,"$798,550,525 ","$4,417,795,610 "
09-Dec-20,$0.14 ,$0.15 ,$0.13 ,$0.15 ,"$1,320,752,603 ","$4,609,780,641 "
08-Dec-20,$0.15 ,$0.15 ,$0.14 ,$0.14 ,"$939,164,987 ","$4,384,632,224 "
07-Dec-20,$0.16 ,$0.16 ,$0.15 ,$0.15 ,"$789,426,236 ","$4,795,379,168 "
06-Dec-20,$0.16 ,$0.16 ,$0.15 ,$0.16 ,"$886,137,949 ","$4,942,739,301 "
05-Dec-20,$0.15 ,$0.16 ,$0.15 ,$0.16 ,"$1,036,100,099 ","$4,967,663,076 "
04-Dec-20,$0.16 ,$0.16 ,$0.15 ,$0.15 ,"$1,200,621,758 ","$4,612,149,974 "
03-Dec-20,$0.16 ,$0.17 ,$0.16 ,$0.16 ,"$1,287,927,035 ","$5,109,042,857 "
02-Dec-20,$0.16 ,$0.16 ,$0.15 ,$0.16 ,"$1,367,595,805 ","$4,933,112,086 "
01-Dec-20,$0.17 ,$0.17 ,$0.15 ,$0.16 ,"$2,071,556,994 ","$4,853,014,492 "
30-Nov-20,$0.17 ,$0.17 ,$0.16 ,$0.17 ,"$2,151,589,402 ","$5,329,823,912 "
29-Nov-20,$0.16 ,$0.17 ,$0.16 ,$0.17 ,"$1,731,327,207 ","$5,184,554,213 "
28-Nov-20,$0.14 ,$0.17 ,$0.14 ,$0.16 ,"$1,932,319,047 ","$5,127,054,700 "
27-Nov-20,$0.14 ,$0.14 ,$0.13 ,$0.14 ,"$1,505,708,870 ","$4,387,736,333 "
26-Nov-20,$0.16 ,$0.16 ,$0.12 ,$0.14 ,"$2,523,183,036 ","$4,302,273,183 "
25-Nov-20,$0.17 ,$0.17 ,$0.15 ,$0.16 ,"$1,773,041,979 ","$4,827,479,500 "
